conversation_id,timestamp,sender,text,sentiment,answered,category
9f1fad6e-0bc9-4fdf-b0e8-dc6da287b031,2025-06-10T19:33:51,user,Kına,HATA,HATA,HATA
9f1fad6e-0bc9-4fdf-b0e8-dc6da287b031,2025-06-10T19:34:06,user,Diyarbakır’da hem düğün hem kına,HATA,HATA,HATA
9f1fad6e-0bc9-4fdf-b0e8-dc6da287b031,2025-06-10T19:35:27,user,"2 ay sonra düşünüyoruz 700 davetli gelecek ikram olarak içecek ve ,pasta ve meşrubat istiyoruz",HATA,HATA,HATA
9f1fad6e-0bc9-4fdf-b0e8-dc6da287b031,2025-06-10T19:36:14,user,"Mekan ve fotoğraf ,100 bin tl bütçemiz var kapalı alanda",HATA,HATA,HATA
9f1fad6e-0bc9-4fdf-b0e8-dc6da287b031,2025-06-10T19:36:43,user,Davet sayısını 600 e çekelim o zaman,HATA,HATA,HATA
9f1fb51c-a029-4691-973d-63772a5f82ab,2025-06-10T19:55:19,user,Düğün,HATA,HATA,HATA
9f1fb51c-a029-4691-973d-63772a5f82ab,2025-06-10T19:55:52,user,Adıyaman Kahta,HATA,HATA,HATA
9f1fb51c-a029-4691-973d-63772a5f82ab,2025-06-10T19:56:24,user,Ağustos ayı,HATA,HATA,HATA
9f1fb51c-a029-4691-973d-63772a5f82ab,2025-06-10T19:56:47,user,200 e Yakın,HATA,HATA,HATA
9f1fb51c-a029-4691-973d-63772a5f82ab,2025-06-10T19:57:11,user,Yemekli,HATA,HATA,HATA
9f1fb51c-a029-4691-973d-63772a5f82ab,2025-06-10T19:58:04,user,Açık yada kapalı düğün salonu,HATA,HATA,HATA
9f1fb51c-a029-4691-973d-63772a5f82ab,2025-06-10T19:58:43,user,500,HATA,HATA,HATA
9f1fb51c-a029-4691-973d-63772a5f82ab,2025-06-10T19:59:37,user,Adıyaman Kahta köşk düğün salonu,HATA,HATA,HATA
9f1fb55f-544f-4c63-bcf0-4bba9aa984d5,2025-06-10T19:56:19,user,Kına,HATA,HATA,HATA
9f1fb55f-544f-4c63-bcf0-4bba9aa984d5,2025-06-10T19:56:45,user,Abiye istiyorum,HATA,HATA,HATA
9f1fb55f-544f-4c63-bcf0-4bba9aa984d5,2025-06-10T19:57:43,user,İstanbul Türkiye bütçe 4000 bin TL,HATA,HATA,HATA
9f1fb55f-544f-4c63-bcf0-4bba9aa984d5,2025-06-10T19:58:51,user,Bağcılar Esenler,HATA,HATA,HATA
9f1fb55f-544f-4c63-bcf0-4bba9aa984d5,2025-06-10T19:59:32,user,Ok,HATA,HATA,HATA
9f1fb55f-544f-4c63-bcf0-4bba9aa984d5,2025-06-10T20:01:01,user,Peki uygun fiyata olnine site bula bilirmisib,HATA,HATA,HATA
9f1fc574-98e7-4e66-b86c-e77c51347f3b,2025-06-10T20:41:04,user,Düğün,HATA,HATA,HATA
9f1fc574-98e7-4e66-b86c-e77c51347f3b,2025-06-10T20:41:54,user,2025.11.15,HATA,HATA,HATA
9f1fc574-98e7-4e66-b86c-e77c51347f3b,2025-06-10T20:42:23,user,Düğün mekanı,HATA,HATA,HATA
9f1fd866-240c-42d0-a3b5-84133bcba6fb,2025-06-10T21:34:31,user,Merbah,HATA,HATA,HATA
9f1fd866-240c-42d0-a3b5-84133bcba6fb,2025-06-10T21:35:06,user,Şeşi,HATA,HATA,HATA
9f1fd866-240c-42d0-a3b5-84133bcba6fb,2025-06-10T21:36:02,user,https://images.app.goo.gl/cid7SnWHy1pyLv118,HATA,HATA,HATA
9f1fda47-f4d0-4293-ac53-8b46ff243af4,2025-06-10T21:39:15,user,Nişan,HATA,HATA,HATA
9f1fda47-f4d0-4293-ac53-8b46ff243af4,2025-06-10T21:41:31,user,Nişanlık beğenmiştim de onu,HATA,HATA,HATA
9f1fda47-f4d0-4293-ac53-8b46ff243af4,2025-06-10T21:41:40,user,Fiyatı ne kadar,HATA,HATA,HATA
9f208c53-9dd0-4a3c-bcfc-2e880230d355,2025-06-11T05:57:04,user,Düğün,HATA,HATA,HATA
9f208c53-9dd0-4a3c-bcfc-2e880230d355,2025-06-11T05:57:48,user,23.08.25 pastalı olcak 600 kişi,HATA,HATA,HATA
9f208c53-9dd0-4a3c-bcfc-2e880230d355,2025-06-11T05:58:15,user,Konya da olacak,HATA,HATA,HATA
9f208c53-9dd0-4a3c-bcfc-2e880230d355,2025-06-11T05:58:35,user,100,HATA,HATA,HATA
9f209ce4-52c0-4749-87a6-4dd467d90ad3,2025-06-11T06:43:30,user,merhaba,HATA,HATA,HATA
9f209ce4-52c0-4749-87a6-4dd467d90ad3,2025-06-11T06:43:47,user,okulumuzun mezuniyet töreni için fiyat almak istiyorum,HATA,HATA,HATA
9f209ce4-52c0-4749-87a6-4dd467d90ad3,2025-06-11T06:44:12,user,istanbul tuzla,HATA,HATA,HATA
9f209ce4-52c0-4749-87a6-4dd467d90ad3,2025-06-11T06:44:19,user,28-29 haziran,HATA,HATA,HATA
9f209ce4-52c0-4749-87a6-4dd467d90ad3,2025-06-11T06:44:59,user,yemek ve pasta,HATA,HATA,HATA
