conversation_id,timestamp,sender,text,sentiment,answered,category
9f1fad6e-0bc9-4fdf-b0e8-dc6da287b031,2025-06-10T19:33:51,user,Kına,"Sentiment: Nötr 
","Hayır 
","konu=[Etkinlik Türüyle İlgili Kelimeler] 
"
9f1fad6e-0bc9-4fdf-b0e8-dc6da287b031,2025-06-10T19:34:06,user,Diyarbakır’da hem düğün hem kına,"sentiment=nötr 
","[Evet] 
","konu = [Etkinlik Türüyle İlgili Kelimeler]  
"
9f1fad6e-0bc9-4fdf-b0e8-dc6da287b031,2025-06-10T19:35:27,user,"2 ay sonra düşünüyoruz 700 davetli gelecek ikram olarak içecek ve ,pasta ve meşrubat istiyoruz","sentiment=pozitif 
","[Evet] 
","konu=[Etkinlik Türüyle İlgili Kelimeler,  Hizmet Türüyle İlgili Kelimeler, İkram ve Menüyle İlgili Kelimeler] 
"
9f1fad6e-0bc9-4fdf-b0e8-dc6da287b031,2025-06-10T19:36:14,user,"Mekan ve fotoğraf ,100 bin tl bütçemiz var kapalı alanda","sentiment=nötr 
","[Evet] 
","konu=[Etkinlik Türüyle İlgili Kelimeler, Mekan ve Lokasyonla İlgili Kelimeler, Bütçe ve Kapasiteyle İlgili Kelimeler ] 
"
9f1fad6e-0bc9-4fdf-b0e8-dc6da287b031,2025-06-10T19:36:43,user,Davet sayısını 600 e çekelim o zaman,"sentiment=nötr 
","[Hayır] 
","konu=[Davet Sayısı] 
"
9f1fb51c-a029-4691-973d-63772a5f82ab,2025-06-10T19:55:19,user,Düğün,"Sentiment: Nötr 
","[Hayır] 
","konu = [Etkinlik Türüyle İlgili Kelimeler] 
"
9f1fb51c-a029-4691-973d-63772a5f82ab,2025-06-10T19:55:52,user,Adıyaman Kahta,"Sentiment: Nötr 
","Cevap formatı: [Evet / Hayır] 
","konu = [ Mekan ve Lokasyonla İlgili Kelimeler ] 
"
9f1fb51c-a029-4691-973d-63772a5f82ab,2025-06-10T19:56:24,user,Ağustos ayı,"Sentiment: Nötr 
","[Hayır] 
","konu=[Etkinlik Türüyle İlgili Kelimeler] 
"
9f1fb51c-a029-4691-973d-63772a5f82ab,2025-06-10T19:56:47,user,200 e Yakın,"Sentiment: Nötr 
","Tamam, bana müşteri mesajlarını ver, cevap formatına uygun bir şekilde yanıtladığımı kontrol edebilirim. 



","konu = [
davetli sayısı
] 
"
9f1fb51c-a029-4691-973d-63772a5f82ab,2025-06-10T19:57:11,user,Yemekli,"Sentiment: Nötr 
","Hayır 
",konu=[İkram ve Menü]
9f1fb51c-a029-4691-973d-63772a5f82ab,2025-06-10T19:58:04,user,Açık yada kapalı düğün salonu,"sentiment=nötr 
","[Evet] 
","konu=[Mekan Türü] 
"
